SHA256_RESULTS 0025ed7189faf4b26588a3d1defd69fdcd6c114cd6ddddf50f029c3fce3a364b
   k      n  D(grid)  D/(n/sqrt(log n))  D/(n/log n)  D/sqrt(n)
   2      4        2             0.5887       0.6931     1.0000
   3      9        5             0.8235       1.2207     1.6667
   5     25       14             1.0047       1.8026     2.8000
  10    100       50             1.0730       2.3026     5.0000
  20    400      179             1.0954       2.6812     8.9500
  30    900      381             1.1041       2.8797    12.7000
  40   1600      652             1.1069       3.0064    16.3000
  50   2500      992             1.1099       3.1046    19.8400
  60   3600     1396             1.1097       3.1754    23.2667
  70   4900     1864             1.1089       3.2323    26.6286
  80   6400     2396             1.1083       3.2810    29.9500
  90   8100     2992             1.1081       3.3243    33.2444
 100  10000     3663             1.1117       3.3737    36.6300
 110  12100     4378             1.1094       3.4014    39.8000
 120  14400     5158             1.1084       3.4297    42.9833
